step,temp,press,KE,PE,E,Vol
0,300,2579103.906,20.20336066,3167.029444,3187.232805,5000
10,51103.36066,1718120.903,3441.532088,-954.1759842,2487.356104,5000
20,53535.57865,1672232.365,3605.328679,-1117.023987,2488.304692,5000
30,47096.61087,1869336.286,3171.699385,-674.1359371,2497.563448,5000
40,46564.67618,1908007.785,3135.87649,-635.5782718,2500.298218,5000
50,44706.45711,1961822.72,3010.73559,-513.9991225,2496.736467,5000
60,42140.14584,2102735.158,2837.908549,-333.6650852,2504.243464,5000
70,41752.98787,2112720.25,2811.835576,-290.8324754,2521.0031,5000
80,41175.80882,2053339.336,2772.965721,-253.5561615,2519.409559,5000
90,41812.96703,2037843.991,2815.874844,-293.8018751,2522.072969,5000
100,40872.82045,2018190.412,2752.56111,-234.7600374,2517.801073,5000
110,38891.04447,2058507.457,2619.099327,-99.73864059,2519.360686,5000
120,37556.73103,2119581.391,2529.240608,-6.668463326,2522.572144,5000
130,37118.62816,2096104.778,2499.736774,24.0872653,2523.824039,5000
140,36446.39728,2161398.061,2454.465697,73.31363196,2527.779329,5000
150,35793.43921,2191796.791,2410.492539,120.8854195,2531.377959,5000
160,36406.71409,2172116.635,2451.793251,83.54346739,2535.336718,5000
170,38081.26774,2171479.011,2564.565289,-28.03018302,2536.535106,5000
180,35785.32074,2234905.68,2409.945805,126.9680262,2536.913831,5000
190,36051.29453,2222578.179,2427.857686,105.1405206,2532.998207,5000
200,37646.9192,2165316.26,2535.314288,-2.442588346,2532.8717,5000
210,37218.177,2165840.851,2506.440844,25.91419063,2532.355034,5000
220,36766.83112,2189172.941,2476.045166,56.10680835,2532.151974,5000
230,38681.44901,2127268.839,2604.984218,-71.53019954,2533.454018,5000
240,38284.09215,2086209.848,2578.224405,-46.45848227,2531.765923,5000
250,40039.08126,2020059.015,2696.413331,-162.9067321,2533.506599,5000
260,40280.53145,2042536.905,2712.673682,-177.3400967,2535.333585,5000
270,40031.79522,2029222.369,2695.922656,-162.2656181,2533.657038,5000
280,40946.31312,1995806.599,2757.510439,-221.6953374,2535.815102,5000
290,40434.13042,1989164.165,2723.017734,-189.4735954,2533.544138,5000
300,40173.32752,2019801.941,2705.454083,-171.2847532,2534.16933,5000
310,41907.77857,1982458.465,2822.259884,-286.946714,2535.31317,5000
320,41514.31171,1990789.216,2795.762041,-258.9163632,2536.845677,5000
330,39325.5153,2029175.44,2648.358563,-111.4879046,2536.870658,5000
340,40012.94694,2036772.197,2694.653328,-157.1113776,2537.54195,5000
350,40867.35377,1978721.312,2752.192959,-215.5580954,2536.634863,5000
360,39807.4894,2008490.032,2680.816885,-144.379255,2536.43763,5000
370,39808.81809,1988494.535,2680.906365,-144.3084856,2536.597879,5000
